7508,2016-11-5,2021-7-15,1713
8577,2017-5-31,2021-9-23,1576
9023,2017-9-4,2022-6-21,1751
9510,2017-12-30,2022-9-13,1718
10110,2018-6-29,2021-5-19,1055
10117,2018-6-30,2022-7-13,1474
10454,2018-9-28,2021-10-21,1119
10540,2018-10-20,2021-10-8,1084
10663,2018-11-18,2022-3-1,1199
10676,2018-11-22,2021-10-26,1069
11045,2019-3-2,2021-6-23,844
11048,2019-3-3,2021-10-5,947
11123,2019-3-25,2021-5-27,794
11218,2019-4-13,2022-7-22,1196
11337,2019-5-7,2021-6-9,764
11379,2019-5-17,2021-11-18,916
11414,2019-5-25,2021-10-14,873
11481,2019-6-17,2021-5-26,709
11580,2019-7-19,2021-7-30,742
11692,2019-8-21,2022-1-17,880
11841,2019-9-27,2021-10-21,755
11844,2019-9-27,2022-7-27,1034
11900,2019-10-10,2021-4-7,545
11994,2019-10-30,2021-7-2,611
12133,2019-11-24,2021-9-1,647
12187,2019-12-5,2021-8-6,610
12278,2020-1-5,2021-9-10,614
12504,2020-2-27,2022-3-29,761
12505,2020-2-28,2022-4-28,790
12580,2020-3-17,2021-3-18,366
12602,2020-3-21,2022-8-30,892
12646,2020-3-31,2022-2-14,685
12686,2020-4-8,2021-5-19,406
12687,2020-4-8,2021-12-30,631
12688,2020-4-8,2021-4-16,373
12715,2020-4-14,2022-4-22,738
12727,2020-4-15,2021-3-31,350
12807,2020-4-27,2022-4-28,731
12844,2020-5-2,2021-6-24,418
12882,2020-5-9,2021-12-8,578
12926,2020-5-17,2021-11-29,561
12963,2020-5-23,2021-7-7,410
13021,2020-6-3,2021-5-5,336
13065,2020-6-14,2022-1-20,585
13093,2020-6-20,2021-3-31,284
13201,2020-7-16,2021-5-4,292
13244,2020-7-27,2021-4-20,267
13259,2020-7-30,2021-5-20,294
13299,2020-8-12,2021-9-10,394
13326,2020-8-19,2022-3-3,561
13351,2020-8-26,2021-3-26,212
13362,2020-8-29,2021-7-13,318
13447,2020-9-22,2021-5-13,233
13526,2020-10-11,2022-2-11,488
13527,2020-10-11,2021-3-10,150
13547,2020-10-16,2021-9-7,326
13559,2020-10-18,2021-6-8,233
13599,2020-10-24,2021-3-18,145
13609,2020-10-26,2021-7-1,248
13651,2020-11-7,2022-9-13,675
13682,2020-11-14,2021-6-9,207
13692,2020-11-18,2021-5-19,182
13709,2020-11-23,2022-4-28,521
13710,2020-11-23,2021-9-8,289
13733,2020-11-29,2021-9-17,292
13736,2020-12-1,2021-11-2,336
