5815,2018-11-18,2021-9-21,1038
6020,2019-1-9,2021-10-13,1008
6298,2019-2-27,2022-8-29,1279
6378,2019-3-8,2022-8-22,1263
6463,2019-3-23,2021-10-13,935
6484,2019-3-27,2022-8-25,1247
7216,2019-7-30,2022-8-8,1105
7277,2019-8-8,2021-9-21,775
7532,2019-9-30,2022-8-31,1066
7704,2019-10-21,2022-9-19,1064
7752,2019-10-29,2022-4-12,896
7787,2019-11-4,2022-6-17,956
7809,2019-11-6,2021-10-13,707
7907,2019-11-19,2022-8-29,1014
7913,2019-11-20,2021-10-13,693
7963,2019-12-3,2022-3-1,819
8026,2019-12-16,2022-2-7,784
8135,2020-1-10,2022-4-6,817
8157,2020-1-15,2022-4-6,812
8196,2020-1-20,2021-11-24,674
8450,2020-3-2,2022-8-8,889
8590,2020-3-19,2022-1-24,676
8623,2020-3-26,2021-10-13,566
8668,2020-4-2,2021-10-13,559
8716,2020-4-9,2022-8-29,872
8776,2020-4-19,2022-2-23,675
8801,2020-4-22,2022-8-25,855
8809,2020-4-22,2022-4-29,737
8818,2020-4-23,2021-10-13,538
8832,2020-4-23,2021-11-28,584
8884,2020-4-29,2022-4-29,730
8893,2020-4-30,2021-8-26,483
8918,2020-5-2,2022-8-31,851
8919,2020-5-2,2022-8-15,835
8938,2020-5-6,2022-8-24,840
9015,2020-5-17,2021-10-26,527
9073,2020-5-25,2022-3-16,660
9081,2020-5-26,2022-8-24,820
9109,2020-5-31,2021-10-21,508
9171,2020-6-9,2021-8-10,427
9199,2020-6-11,2022-8-16,796
9232,2020-6-15,2022-8-17,793
9240,2020-6-16,2021-9-19,460
9241,2020-6-16,2022-8-17,792
9253,2020-6-18,2022-8-9,782
9288,2020-6-23,2022-8-16,784
9323,2020-6-25,2022-8-26,792
9334,2020-6-29,2022-4-9,649
9399,2020-7-5,2022-8-15,771
9429,2020-7-8,2022-3-1,601
9480,2020-7-14,2022-8-17,764
9524,2020-7-17,2022-8-17,761
9528,2020-7-20,2021-11-24,492
9538,2020-7-20,2021-8-10,386
9578,2020-7-23,2021-8-10,383
9605,2020-7-27,2022-4-29,641
9621,2020-7-29,2021-9-17,415
9634,2020-7-30,2022-8-18,749
9657,2020-8-4,2022-4-29,633
9688,2020-8-7,2021-11-24,474
9695,2020-8-9,2021-10-13,430
9709,2020-8-11,2022-4-29,626
9719,2020-8-11,2021-11-3,449
9726,2020-8-12,2021-8-3,356
9731,2020-8-13,2021-10-21,434
9737,2020-8-16,2021-7-6,324
9738,2020-8-17,2022-8-16,729
9766,2020-8-18,2022-8-16,728
9800,2020-8-22,2021-8-5,348
9802,2020-8-23,2022-8-29,736
9814,2020-8-24,2021-8-4,345
9844,2020-8-27,2022-8-29,732
9872,2020-9-1,2022-9-15,744
9904,2020-9-6,2021-9-16,375
9956,2020-9-15,2022-8-15,699
10000,2020-9-21,2022-4-22,578
10011,2020-9-22,2022-8-16,693
10012,2020-9-22,2022-8-24,701
10019,2020-9-22,2021-9-16,359
10027,2020-9-23,2022-8-26,702
10043,2020-9-25,2022-4-22,574
10045,2020-9-25,2021-11-24,425
10085,2020-10-3,2021-10-1,363
10101,2020-10-6,2021-10-12,371
10144,2020-10-14,2022-8-17,672
10235,2020-10-25,2021-9-1,311
10249,2020-10-27,2021-12-15,414
10251,2020-10-27,2022-8-16,658
10256,2020-10-28,2021-9-8,315
10278,2020-10-30,2022-4-29,546
10280,2020-10-30,2022-7-6,614
10348,2020-11-8,2022-5-23,561
10356,2020-11-9,2022-8-23,652
10367,2020-11-10,2021-9-14,308
10368,2020-11-10,2022-8-3,631
10374,2020-11-11,2022-8-17,644
10376,2020-11-11,2021-7-19,250
10389,2020-11-12,2022-8-15,641
10429,2020-11-23,2021-9-1,282
10453,2020-11-25,2021-9-16,295
10467,2020-11-30,2022-8-30,638
10505,2020-12-5,2021-12-1,361
10554,2020-12-14,2022-8-16,610
10595,2020-12-17,2021-9-1,258
10605,2020-12-19,2021-8-26,250
10607,2020-12-20,2022-5-10,506
10610,2020-12-21,2022-8-16,603
10651,2021-1-5,2021-9-13,251
10666,2021-1-7,2021-11-8,305
10670,2021-1-7,2021-9-20,256
10675,2021-1-8,2021-8-23,227
10678,2021-1-10,2022-7-14,550
10679,2021-1-11,2021-9-10,242
10682,2021-1-11,2022-1-6,360
10693,2021-1-14,2022-8-31,594
10719,2021-1-19,2022-8-18,576
10727,2021-1-19,2022-8-16,574
10751,2021-1-24,2022-4-20,451
10773,2021-1-26,2021-7-27,182
10794,2021-1-27,2021-9-16,232
10824,2021-2-2,2022-2-1,364
